iter	Passed	Remaining
0	1	1804
1	3	1799
2	5	1837
3	7	1906
4	9	1907
5	11	1877
6	13	1931
7	15	1905
8	17	1890
9	18	1871
10	20	1857
11	22	1850
12	24	1856
13	26	1844
14	27	1836
15	29	1842
16	31	1836
17	33	1808
18	35	1814
19	37	1819
20	39	1829
21	41	1828
22	42	1824
23	44	1820
24	46	1816
25	48	1811
26	50	1807
27	51	1803
28	53	1799
29	55	1803
30	57	1801
31	59	1797
32	61	1792
33	63	1795
34	65	1801
35	67	1803
36	69	1800
37	71	1802
38	72	1798
39	73	1771
40	75	1768
41	77	1770
42	79	1770
43	81	1767
44	83	1763
45	84	1759
46	86	1756
47	88	1755
48	90	1758
49	92	1760
50	96	1794
51	98	1793
52	100	1795
53	102	1796
54	104	1802
55	106	1803
56	108	1800
57	111	1813
58	113	1813
59	115	1816
60	118	1817
61	120	1817
62	122	1821
63	124	1822
64	126	1820
65	128	1816
66	130	1814
67	132	1810
68	134	1809
69	135	1806
70	138	1807
71	140	1804
72	143	1823
73	146	1835
74	148	1833
75	150	1832
76	152	1830
77	154	1830
78	156	1826
79	158	1822
80	160	1817
81	162	1814
82	163	1811
83	165	1809
84	167	1804
85	169	1800
86	171	1796
87	172	1792
88	174	1788
89	176	1785
90	178	1782
91	180	1779
92	182	1776
93	183	1773
94	185	1769
95	187	1769
96	189	1765
97	191	1762
98	193	1758
99	195	1757
100	197	1754
101	198	1750
102	200	1743
103	202	1741
104	204	1739
105	206	1737
106	207	1734
107	209	1732
108	211	1730
109	213	1728
110	215	1726
111	217	1724
112	219	1722
113	221	1720
114	223	1717
115	224	1713
116	226	1710
117	228	1706
118	230	1704
119	232	1701
120	233	1698
121	235	1695
122	237	1692
123	239	1690
124	241	1688
125	242	1685
126	244	1682
127	246	1681
128	247	1672
129	249	1669
130	251	1668
131	253	1666
132	255	1663
133	257	1661
134	258	1658
135	260	1656
136	262	1653
137	264	1650
138	266	1648
139	267	1645
140	269	1642
141	271	1640
142	273	1637
143	275	1636
144	277	1633
145	278	1631
146	280	1628
147	282	1625
148	283	1619
149	285	1616
150	287	1614
151	289	1612
152	290	1610
153	292	1608
154	294	1605
155	296	1603
156	298	1601
157	299	1598
158	301	1596
159	303	1593
160	305	1590
161	307	1589
162	309	1586
163	310	1583
164	312	1582
165	314	1580
166	316	1578
167	318	1576
168	320	1573
169	321	1571
170	323	1569
171	325	1567
172	327	1564
173	329	1562
174	331	1560
175	332	1558
176	334	1556
177	336	1553
178	338	1551
179	340	1549
180	342	1548
181	343	1545
182	345	1542
183	347	1540
184	349	1538
185	351	1536
186	352	1533
187	354	1531
188	356	1529
189	358	1526
190	360	1525
191	361	1522
192	363	1520
193	365	1519
194	367	1517
195	369	1514
196	371	1512
197	372	1510
198	374	1508
199	376	1505
200	378	1504
201	380	1502
202	382	1501
203	383	1495
204	385	1494
205	387	1492
206	388	1490
207	390	1488
208	392	1487
209	395	1486
210	397	1485
211	399	1484
212	401	1482
213	403	1481
214	405	1479
215	407	1477
216	409	1476
217	411	1475
218	413	1473
219	415	1471
220	417	1470
221	421	1475
222	422	1473
223	424	1471
224	426	1469
225	428	1469
226	430	1467
227	432	1465
228	434	1463
229	436	1461
230	438	1458
231	440	1456
232	441	1454
233	443	1452
234	445	1450
235	447	1448
236	449	1446
237	451	1444
238	453	1442
239	455	1440
240	456	1438
241	459	1439
242	461	1437
243	463	1436
244	465	1433
245	467	1431
246	469	1430
247	470	1427
248	472	1425
249	474	1423
250	478	1426
251	480	1424
252	482	1423
253	484	1421
254	485	1419
255	487	1417
256	489	1415
257	491	1413
258	493	1411
259	495	1409
260	496	1407
261	498	1404
262	500	1402
263	502	1400
264	504	1398
265	505	1396
266	507	1394
267	509	1392
268	511	1390
269	513	1388
270	515	1386
271	517	1384
272	518	1382
273	520	1379
274	522	1377
275	524	1375
276	525	1372
277	527	1370
278	529	1367
279	531	1365
280	533	1365
281	535	1363
282	537	1360
283	538	1358
284	540	1356
285	542	1354
286	544	1352
287	546	1349
288	547	1347
289	549	1345
290	551	1343
291	553	1341
292	555	1339
293	556	1337
294	558	1335
295	560	1333
296	562	1331
297	564	1328
298	565	1326
299	567	1325
300	569	1323
301	571	1321
302	573	1319
303	575	1317
304	576	1314
305	578	1312
306	580	1310
307	582	1308
308	584	1306
309	585	1304
310	587	1301
311	589	1299
312	591	1297
313	592	1295
314	594	1293
315	596	1291
316	598	1290
317	600	1288
318	602	1286
319	604	1285
320	606	1283
321	608	1281
322	610	1279
323	612	1277
324	614	1276
325	616	1274
326	618	1272
327	619	1269
328	622	1268
329	623	1266
330	625	1264
331	627	1262
332	629	1260
333	631	1258
334	633	1256
335	634	1254
336	635	1250
337	637	1248
338	639	1247
339	641	1245
340	643	1243
341	645	1241
342	647	1239
343	649	1237
344	651	1235
345	652	1233
346	654	1231
347	656	1229
348	658	1227
349	659	1225
350	661	1223
351	663	1220
352	665	1219
353	666	1217
354	668	1215
355	670	1213
356	672	1211
357	674	1209
358	676	1207
359	678	1205
360	679	1203
361	681	1201
362	683	1199
363	685	1198
364	687	1195
365	689	1194
366	691	1192
367	693	1190
368	694	1188
369	696	1186
370	698	1184
371	700	1182
372	702	1180
373	704	1178
374	706	1176
375	707	1174
376	709	1172
377	711	1170
378	713	1168
379	715	1167
380	717	1165
381	719	1163
382	721	1161
383	722	1159
384	724	1157
385	726	1155
386	728	1153
387	728	1149
388	730	1147
389	732	1145
390	734	1143
391	735	1141
392	737	1139
393	739	1137
394	741	1135
395	743	1133
396	745	1131
397	746	1129
398	748	1127
399	750	1125
400	752	1123
401	754	1121
402	756	1120
403	758	1118
404	759	1116
405	761	1114
406	763	1112
407	765	1110
408	767	1108
409	769	1107
410	771	1105
411	773	1103
412	774	1101
413	776	1099
414	778	1097
415	780	1095
416	782	1093
417	784	1091
418	786	1090
419	787	1088
420	789	1086
421	791	1084
422	793	1082
423	795	1080
424	797	1078
425	799	1076
426	801	1075
427	802	1073
428	804	1071
429	806	1069
430	808	1067
431	810	1065
432	812	1063
433	813	1061
434	815	1059
435	817	1057
436	819	1055
437	821	1053
438	823	1051
439	825	1050
440	826	1048
441	828	1046
442	830	1044
443	832	1042
444	834	1040
445	835	1038
446	837	1036
447	839	1034
448	841	1032
449	843	1030
450	845	1028
451	847	1027
452	848	1025
453	850	1023
454	852	1021
455	854	1019
456	856	1017
457	858	1015
458	860	1013
459	862	1012
460	864	1010
461	865	1008
462	867	1006
463	869	1004
464	871	1002
465	873	1000
466	874	998
467	877	997
468	879	995
469	881	993
470	883	991
471	885	990
472	886	988
473	888	986
474	890	984
475	892	982
476	894	980
477	896	978
478	898	976
479	899	974
480	901	972
481	903	970
482	905	968
483	906	966
484	908	964
485	910	963
486	912	961
487	914	959
488	916	957
489	918	956
490	920	954
491	922	952
492	924	950
493	926	948
494	927	946
495	929	944
496	931	942
497	933	940
498	935	938
499	936	936
500	938	934
501	940	933
502	942	931
503	944	929
504	946	927
505	947	925
506	949	923
507	951	921
508	953	919
509	955	917
510	956	915
511	958	913
512	960	911
513	962	909
514	964	907
515	965	905
516	967	903
517	969	902
518	971	900
519	973	898
520	975	896
521	977	894
522	979	892
523	980	891
524	982	889
525	984	887
526	986	885
527	988	883
528	990	882
529	992	880
530	994	878
531	996	876
532	998	874
533	1000	872
534	1001	870
535	1004	869
536	1005	867
537	1007	865
538	1009	863
539	1013	863
540	1015	861
541	1017	860
542	1020	858
543	1022	856
544	1023	854
545	1025	852
546	1027	851
547	1029	849
548	1031	847
549	1033	845
550	1035	843
551	1037	842
552	1039	840
553	1041	838
554	1043	836
555	1045	834
556	1047	832
557	1049	831
558	1051	829
559	1053	827
560	1055	825
561	1057	823
562	1059	822
563	1061	820
564	1063	818
565	1067	818
566	1069	816
567	1071	814
568	1073	812
569	1074	810
570	1076	809
571	1078	807
572	1080	805
573	1082	803
574	1084	801
575	1086	799
576	1088	797
577	1090	795
578	1092	794
579	1094	792
580	1096	790
581	1098	789
582	1101	787
583	1103	786
584	1105	784
585	1108	782
586	1110	781
587	1112	779
588	1117	779
589	1119	777
590	1121	775
591	1123	774
592	1125	772
593	1127	770
594	1129	768
595	1130	766
596	1132	764
597	1134	762
598	1136	760
599	1138	758
600	1140	757
601	1142	755
602	1144	753
603	1146	751
604	1147	749
605	1150	747
606	1152	745
607	1153	743
608	1155	742
609	1157	740
610	1159	738
611	1161	736
612	1163	734
613	1165	732
614	1167	730
615	1169	728
616	1171	727
617	1173	725
618	1175	723
619	1177	721
620	1179	719
621	1180	717
622	1183	715
623	1185	714
624	1187	712
625	1189	710
626	1191	708
627	1193	706
628	1194	704
629	1197	703
630	1199	701
631	1201	699
632	1203	697
633	1205	696
634	1208	694
635	1210	692
636	1211	690
637	1213	688
638	1215	686
639	1217	684
640	1219	683
641	1221	681
642	1223	679
643	1225	677
644	1227	675
645	1229	673
646	1231	671
647	1233	669
648	1235	668
649	1237	666
650	1238	664
651	1240	662
652	1242	660
653	1244	658
654	1246	656
655	1248	654
656	1250	652
657	1252	650
658	1254	649
659	1256	647
660	1258	645
661	1260	643
662	1262	641
663	1264	640
664	1266	638
665	1268	636
666	1270	634
667	1272	632
668	1274	630
669	1276	628
670	1278	626
671	1280	624
672	1282	623
673	1284	621
674	1286	619
675	1288	617
676	1290	615
677	1292	613
678	1293	611
679	1295	609
680	1298	608
681	1300	606
682	1302	604
683	1303	602
684	1305	600
685	1307	598
686	1309	596
687	1311	594
688	1313	592
689	1315	590
690	1317	589
691	1319	587
692	1321	585
693	1323	583
694	1325	581
695	1327	579
696	1329	577
697	1331	575
698	1333	574
699	1335	572
700	1336	570
701	1338	568
702	1340	566
703	1342	564
704	1344	562
705	1346	560
706	1348	558
707	1350	557
708	1352	555
709	1354	553
710	1357	551
711	1358	549
712	1360	547
713	1362	545
714	1364	543
715	1366	542
716	1368	540
717	1370	538
718	1372	536
719	1374	534
720	1376	532
721	1378	530
722	1380	528
723	1382	526
724	1383	524
725	1385	522
726	1387	520
727	1389	519
728	1391	517
729	1393	515
730	1395	513
731	1396	511
732	1398	509
733	1400	507
734	1402	505
735	1404	503
736	1406	501
737	1407	499
738	1409	497
739	1411	495
740	1413	494
741	1415	492
742	1417	490
743	1419	488
744	1420	486
745	1422	484
746	1424	482
747	1426	480
748	1428	478
749	1430	476
750	1432	474
751	1434	472
752	1436	471
753	1438	469
754	1440	467
755	1441	465
756	1443	463
757	1445	461
758	1447	459
759	1449	457
760	1451	455
761	1453	453
762	1455	451
763	1456	450
764	1458	448
765	1460	446
766	1462	444
767	1464	442
768	1466	440
769	1468	438
770	1470	436
771	1472	434
772	1474	432
773	1475	430
774	1477	428
775	1479	427
776	1481	425
777	1483	423
778	1485	421
779	1487	419
780	1489	417
781	1490	415
782	1492	413
783	1494	411
784	1496	409
785	1498	407
786	1500	406
787	1501	404
788	1503	402
789	1505	400
790	1507	398
791	1509	396
792	1511	394
793	1512	392
794	1515	390
795	1517	388
796	1519	386
797	1520	384
798	1522	383
799	1524	381
800	1526	379
801	1528	377
802	1530	375
803	1532	373
804	1534	371
805	1535	369
806	1537	367
807	1539	365
808	1541	363
809	1543	362
810	1545	360
811	1547	358
812	1549	356
813	1550	354
814	1552	352
815	1554	350
816	1556	348
817	1558	346
818	1560	344
819	1562	342
820	1564	341
821	1566	339
822	1567	337
823	1569	335
824	1571	333
825	1575	331
826	1577	330
827	1579	328
828	1581	326
829	1583	324
830	1585	322
831	1587	320
832	1589	318
833	1591	316
834	1594	315
835	1596	313
836	1598	311
837	1600	309
838	1602	307
839	1604	305
840	1606	303
841	1609	301
842	1611	300
843	1613	298
844	1615	296
845	1617	294
846	1619	292
847	1621	290
848	1623	288
849	1626	287
850	1628	285
851	1631	283
852	1633	281
853	1635	279
854	1636	277
855	1638	275
856	1640	273
857	1642	271
858	1644	269
859	1645	267
860	1647	266
861	1649	264
862	1651	262
863	1653	260
864	1655	258
865	1656	256
866	1658	254
867	1660	252
868	1662	250
869	1664	248
870	1665	246
871	1667	244
872	1669	242
873	1671	240
874	1673	239
875	1675	237
876	1677	235
877	1679	233
878	1681	231
879	1682	229
880	1685	227
881	1687	225
882	1688	223
883	1690	221
884	1692	219
885	1694	218
886	1696	216
887	1698	214
888	1700	212
889	1702	210
890	1704	208
891	1706	206
892	1707	204
893	1709	202
894	1711	200
895	1713	198
896	1715	196
897	1717	195
898	1719	193
899	1720	191
900	1722	189
901	1724	187
902	1726	185
903	1728	183
904	1729	181
905	1731	179
906	1733	177
907	1735	175
908	1737	173
909	1739	172
910	1740	170
911	1742	168
912	1744	166
913	1747	164
914	1748	162
915	1750	160
916	1752	158
917	1755	156
918	1757	154
919	1759	152
920	1761	151
921	1762	149
922	1764	147
923	1766	145
924	1768	143
925	1770	141
926	1772	139
927	1774	137
928	1776	135
929	1777	133
930	1779	131
931	1781	129
932	1783	128
933	1785	126
934	1787	124
935	1789	122
936	1791	120
937	1792	118
938	1794	116
939	1796	114
940	1798	112
941	1800	110
942	1802	108
943	1803	107
944	1805	105
945	1807	103
946	1809	101
947	1811	99
948	1813	97
949	1814	95
950	1816	93
951	1818	91
952	1820	89
953	1822	87
954	1824	85
955	1826	84
956	1828	82
957	1830	80
958	1831	78
959	1833	76
960	1836	74
961	1838	72
962	1840	70
963	1842	68
964	1844	66
965	1846	64
966	1848	63
967	1850	61
968	1852	59
969	1854	57
970	1856	55
971	1858	53
972	1860	51
973	1862	49
974	1864	47
975	1866	45
976	1867	43
977	1869	42
978	1871	40
979	1873	38
980	1875	36
981	1876	34
982	1878	32
983	1880	30
984	1882	28
985	1884	26
986	1886	24
987	1888	22
988	1889	21
989	1891	19
990	1893	17
991	1895	15
992	1897	13
993	1899	11
994	1901	9
995	1903	7
996	1904	5
997	1906	3
998	1908	1
999	1910	0
